generation,space,flags,time
1,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-foptimize-sibling-calls', '-fcse-skip-blocks', '-fexpensive-optimizations', '-frerun-cse-after-loop', '-fpeephole2', '-fschedule-insns', '-fsched-interblock', '-fsched-spec', '-funit-at-a-time', '-falign-labels', '-ftree-pre', '-floop-interchange', '-floop-unroll-and-jam', '-fsplit-loops', '-ftree-loop-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.52
1,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","['gcc', '-O1', '-fthread-jumps', '-foptimize-sibling-calls', '-fgcse', '-fstrength-reduce', '-frerun-loop-opt', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fsched-spec', '-fstrict-aliasing', '-freorder-blocks', '-falign-labels', '-ftree-pre', '-fipa-cp-clone', '-floop-interchange', '-floop-unroll-and-jam', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-ftree-slp-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.57
1,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-falign-loops', '-falign-labels', '-ftree-pre', '-fgcse-after-reload', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpeel-loops', '-fpredictive-commoning', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.4
1,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","['gcc', '-O1', '-fcse-follow-jumps', '-fgcse', '-frerun-cse-after-loop', '-frerun-loop-opt', '-fcaller-saves', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fstrict-aliasing', '-fdelete-null-pointer-checks', '-freorder-blocks', '-funit-at-a-time', '-falign-labels', '-ftree-pre', '-floop-interchange', '-floop-unroll-and-jam', '-fsplit-loops', '-ftree-loop-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.42
1,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-foptimize-sibling-calls', '-fcse-skip-blocks', '-fexpensive-optimizations', '-frerun-cse-after-loop', '-fpeephole2', '-fschedule-insns', '-fsched-interblock', '-fsched-spec', '-falign-labels', '-ftree-pre', '-fipa-cp-clone', '-floop-interchange', '-floop-unroll-and-jam', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-ftree-partial-pre', '-ftree-slp-vectorize', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.52
1,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-foptimize-sibling-calls', '-fgcse', '-fstrength-reduce', '-frerun-loop-opt', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fsched-spec', '-fstrict-aliasing', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-falign-loops', '-falign-labels', '-ftree-pre', '-fgcse-after-reload', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpeel-loops', '-fpredictive-commoning', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.45
1,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-interchange', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-o', 'test_ex', 'simple.c']",0.41
1 SUMMARY,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-falign-loops', '-falign-labels', '-ftree-pre', '-fgcse-after-reload', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpeel-loops', '-fpredictive-commoning', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",0.4
2,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-jumps', '-falign-loops', '-falign-labels', '-ftree-pre', '-fgcse-after-reload', '-fipa-cp-clone', '-floop-unroll-and-jam', '-fpeel-loops', '-fpredictive-commoning', '-fsplit-loops', '-fsplit-paths', '-ftree-loop-vectorize', '-ftree-partial-pre', '-funswitch-loops', '-o', 'test_ex', 'simple.c']",1.41
2,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","['gcc', '-O1', '-fthread-jumps', '-fcrossjumping', '-fcse-follow-jumps', '-fcse-skip-blocks', '-fexpensive-optimizations', '-fstrength-reduce', '-frerun-loop-opt', '-fcaller-saves', '-fpeephole2', '-fschedule-insns', '-fschedule-insns2', '-fsched-interblock', '-fregmove', '-fdelete-null-pointer-checks', '-freorder-blocks', '-freorder-functions', '-falign-labels', '-fipa-cp-clone', '-floop-interchange', '-fpeel-loops', '-ftree-loop-distribution', '-ftree-loop-vectorize', '-o', 'test_ex', 'simple.c']",0.64
